1,68,88,56
3,97,66,82
4,98,69,100
5,68,77,60
6,50,83,79
7,73,79,88
8,94,88,64
9,85,99,73
10,87,89,87
11,70,60,79
12,76,83,66
13,77,61,65
14,98,72,89
15,93,71,54
16,86,98,51
17,62,78,50
18,62,63,84
19,57,89,82
21,67,71,76
1,57,56,77
3,98,99,96
4,84,99,76
5,92,82,73
6,66,98,93
7,53,58,100
8,87,64,86
9,99,80,91
10,96,80,76
11,94,56,78
12,56,93,63
13,78,83,66
14,67,86,97
15,97,62,81
16,53,72,56
17,82,76,62
18,61,64,94
19,64,65,73
21,94,80,99
1,62,60,88
3,95,88,98
4,76,85,79
5,80,51,81
6,98,73,80
7,64,76,75
8,90,59,68
9,91,60,60
10,91,75,51
11,55,79,88
12,63,55,50
13,56,90,54
14,80,90,69
15,68,70,58
16,72,80,81
17,91,62,50
18,69,98,73
19,67,55,57
21,62,70,71
